Dataset , TrainingReleases , %DataTraining , %DefectiveTraining , %DefectiveTesting , Classifier , Balancing , FeatureSelection , TP , FP , TN , FN , Precision , Recall  , AUC , Kappa 
BookkeeperBugginess.arff,1,7,45,25,NaiveBayes,None,None,53.0,41.0,184.0,23.0,0.5638297872340425,0.6973684210526315,0.8180701754385965,0.47768559188764176
BookkeeperBugginess.arff,1,7,45,25,RandomForest,None,None,67.0,73.0,152.0,9.0,0.4785714285714286,0.881578947368421,0.8307017543859649,0.43565941101152367
BookkeeperBugginess.arff,1,7,45,25,IBk,None,None,63.0,87.0,138.0,13.0,0.42,0.8289473684210527,0.721140350877193,0.33445363286605057
BookkeeperBugginess.arff,1,7,45,25,NaiveBayes,UnderSampling,None,53.0,41.0,184.0,23.0,0.5638297872340425,0.6973684210526315,0.8161403508771929,0.47768559188764176
BookkeeperBugginess.arff,1,7,45,25,RandomForest,UnderSampling,None,67.0,78.0,147.0,9.0,0.46206896551724136,0.881578947368421,0.8309941520467836,0.4112767248937749
BookkeeperBugginess.arff,1,7,45,25,IBk,UnderSampling,None,68.0,91.0,134.0,8.0,0.4276729559748428,0.8947368421052632,0.7451461988304093,0.36008332080657973
BookkeeperBugginess.arff,1,7,45,25,NaiveBayes,OverSampling,None,52.0,39.0,186.0,24.0,0.5714285714285714,0.6842105263157895,0.8056432748538012,0.4795389048991353
BookkeeperBugginess.arff,1,7,45,25,RandomForest,OverSampling,None,66.0,78.0,147.0,10.0,0.4583333333333333,0.868421052631579,0.8119590643274853,0.4025083461156726
BookkeeperBugginess.arff,1,7,45,25,IBk,OverSampling,None,64.0,95.0,130.0,12.0,0.4025157232704403,0.8421052631578947,0.7376608187134502,0.3083728820838792
BookkeeperBugginess.arff,1,7,45,25,NaiveBayes,Smote,None,53.0,44.0,181.0,23.0,0.5463917525773195,0.6973684210526315,0.8088304093567251,0.45974979238661623
BookkeeperBugginess.arff,1,7,45,25,RandomForest,Smote,None,70.0,88.0,137.0,6.0,0.4430379746835443,0.9210526315789473,0.8197076023391813,0.3904519798354086
BookkeeperBugginess.arff,1,7,45,25,IBk,Smote,None,64.0,91.0,134.0,12.0,0.4129032258064516,0.8421052631578947,0.7188304093567252,0.32559657175175644
BookkeeperBugginess.arff,1,7,45,25,NaiveBayes,None,BestFirst,52.0,45.0,180.0,24.0,0.5360824742268041,0.6842105263157895,0.8001169590643274,0.44362292051756014
BookkeeperBugginess.arff,1,7,45,25,RandomForest,None,BestFirst,66.0,72.0,153.0,10.0,0.4782608695652174,0.868421052631579,0.816345029239766,0.43178783553570604
BookkeeperBugginess.arff,1,7,45,25,IBk,None,BestFirst,61.0,76.0,149.0,15.0,0.44525547445255476,0.8026315789473685,0.7306432748538012,0.367252650788884
BookkeeperBugginess.arff,1,7,45,25,NaiveBayes,UnderSampling,BestFirst,53.0,47.0,178.0,23.0,0.53,0.6973684210526315,0.8030701754385965,0.44223845828038966
BookkeeperBugginess.arff,1,7,45,25,RandomForest,UnderSampling,BestFirst,67.0,78.0,147.0,9.0,0.46206896551724136,0.881578947368421,0.8127192982456141,0.4112767248937749
BookkeeperBugginess.arff,1,7,45,25,IBk,UnderSampling,BestFirst,65.0,82.0,143.0,11.0,0.4421768707482993,0.8552631578947368,0.7435087719298246,0.37486321713303106
BookkeeperBugginess.arff,1,7,45,25,NaiveBayes,OverSampling,BestFirst,53.0,45.0,180.0,23.0,0.5408163265306123,0.6973684210526315,0.8065204678362573,0.4538662682106835
BookkeeperBugginess.arff,1,7,45,25,RandomForest,OverSampling,BestFirst,64.0,72.0,153.0,12.0,0.47058823529411764,0.8421052631578947,0.7927777777777778,0.4139082058414463
BookkeeperBugginess.arff,1,7,45,25,IBk,OverSampling,BestFirst,63.0,89.0,136.0,13.0,0.4144736842105263,0.8289473684210527,0.7321637426900585,0.32558650382215976
BookkeeperBugginess.arff,1,7,45,25,NaiveBayes,Smote,BestFirst,59.0,74.0,151.0,17.0,0.44360902255639095,0.7763157894736842,0.7967543859649123,0.3584194130185276
BookkeeperBugginess.arff,1,7,45,25,RandomForest,Smote,BestFirst,69.0,81.0,144.0,7.0,0.46,0.9078947368421053,0.8039181286549708,0.4143191969221244
BookkeeperBugginess.arff,1,7,45,25,IBk,Smote,BestFirst,61.0,76.0,149.0,15.0,0.44525547445255476,0.8026315789473685,0.7306432748538012,0.367252650788884
BookkeeperBugginess.arff,2,17,34,53,NaiveBayes,None,None,33.0,53.0,149.0,204.0,0.38372093023255816,0.13924050632911392,0.36164724067343446,-0.11669454534657002
BookkeeperBugginess.arff,2,17,34,53,RandomForest,None,None,36.0,51.0,151.0,201.0,0.41379310344827586,0.1518987341772152,0.36371516898525297,-0.09534842274104435
BookkeeperBugginess.arff,2,17,34,53,IBk,None,None,54.0,68.0,134.0,183.0,0.4426229508196721,0.22784810126582278,0.44140869783180847,-0.10439698114720414
BookkeeperBugginess.arff,2,17,34,53,NaiveBayes,UnderSampling,None,30.0,46.0,156.0,207.0,0.39473684210526316,0.12658227848101267,0.3754543175836571,-0.09551897260881993
BookkeeperBugginess.arff,2,17,34,53,RandomForest,UnderSampling,None,73.0,81.0,121.0,164.0,0.474025974025974,0.3080168776371308,0.3970317917867736,-0.09023547180521621
BookkeeperBugginess.arff,2,17,34,53,IBk,UnderSampling,None,82.0,91.0,111.0,155.0,0.47398843930635837,0.3459915611814346,0.44358106696745625,-0.1021145446381189
BookkeeperBugginess.arff,2,17,34,53,NaiveBayes,OverSampling,None,32.0,49.0,153.0,205.0,0.3950617283950617,0.1350210970464135,0.3767493837991394,-0.1017508497351987
BookkeeperBugginess.arff,2,17,34,53,RandomForest,OverSampling,None,70.0,76.0,126.0,167.0,0.4794520547945205,0.29535864978902954,0.4041024355600117,-0.07827519634500117
BookkeeperBugginess.arff,2,17,34,53,IBk,OverSampling,None,70.0,80.0,122.0,167.0,0.4666666666666667,0.29535864978902954,0.45385804403225133,-0.0975777636067333
BookkeeperBugginess.arff,2,17,34,53,NaiveBayes,Smote,None,30.0,53.0,149.0,207.0,0.3614457831325301,0.12658227848101267,0.3606759410118227,-0.12855702109988332
BookkeeperBugginess.arff,2,17,34,53,RandomForest,Smote,None,47.0,60.0,142.0,190.0,0.4392523364485981,0.19831223628691982,0.36435225801061116,-0.09423916728150106
BookkeeperBugginess.arff,2,17,34,53,IBk,Smote,None,56.0,70.0,132.0,181.0,0.4444444444444444,0.23628691983122363,0.4407402765593015,-0.10594883221422624
BookkeeperBugginess.arff,2,17,34,53,NaiveBayes,None,BestFirst,29.0,47.0,155.0,208.0,0.3815789473684211,0.12236286919831224,0.34018465137653003,-0.10417920164130072
BookkeeperBugginess.arff,2,17,34,53,RandomForest,None,BestFirst,32.0,46.0,156.0,205.0,0.41025641025641024,0.1350210970464135,0.3611041483895225,-0.08760968483807599
BookkeeperBugginess.arff,2,17,34,53,IBk,None,BestFirst,57.0,74.0,128.0,180.0,0.4351145038167939,0.24050632911392406,0.4330743200902369,-0.12113656015604576
BookkeeperBugginess.arff,2,17,34,53,NaiveBayes,UnderSampling,BestFirst,28.0,38.0,164.0,209.0,0.42424242424242425,0.11814345991561181,0.3518089150687221,-0.0658586692616948
