Dataset , TrainingReleases , %DataTraining , %DefectiveTraining , %DefectiveTesting , Classifier , Balancing , FeatureSelection , TP , FP , TN , FN , Precision , Recall  , AUC , Kappa 
OpenJPABugginess.arff,1,2,1,1,NaiveBayes,None,None,9.0,44.0,959.0,11.0,0.16981132075471697,0.45,0.8703888334995015,0.2245620805137899
OpenJPABugginess.arff,1,2,1,1,RandomForest,None,None,8.0,0.0,1003.0,12.0,1.0,0.4,0.9722333000997009,0.5665866403050426
OpenJPABugginess.arff,1,2,1,1,IBk,None,None,12.0,0.0,1003.0,8.0,1.0,0.6,0.8,0.7462797619047616
OpenJPABugginess.arff,1,2,1,1,NaiveBayes,UnderSampling,None,15.0,213.0,790.0,5.0,0.06578947368421052,0.75,0.8253240279162513,0.08819056029830216
OpenJPABugginess.arff,1,2,1,1,RandomForest,UnderSampling,None,18.0,225.0,778.0,2.0,0.07407407407407407,0.9,0.9294865403788634,0.10453130964913289
OpenJPABugginess.arff,1,2,1,1,IBk,UnderSampling,None,18.0,308.0,695.0,2.0,0.05521472392638037,0.9,0.7964606181455633,0.06977630984576959
OpenJPABugginess.arff,1,2,1,1,NaiveBayes,OverSampling,None,16.0,70.0,933.0,4.0,0.18604651162790697,0.8,0.9126620139581256,0.27901483837787316
OpenJPABugginess.arff,1,2,1,1,RandomForest,OverSampling,None,13.0,17.0,986.0,7.0,0.43333333333333335,0.65,0.8122382851445663,0.5084684684684684
OpenJPABugginess.arff,1,2,1,1,IBk,OverSampling,None,12.0,10.0,993.0,8.0,0.5454545454545454,0.6,0.7429461615154537,0.5624673288029278
OpenJPABugginess.arff,1,2,1,1,NaiveBayes,Smote,None,9.0,40.0,963.0,11.0,0.1836734693877551,0.45,0.8798105682951146,0.23975986127908921
OpenJPABugginess.arff,1,2,1,1,RandomForest,Smote,None,9.0,0.0,1003.0,11.0,1.0,0.45,0.9728315054835494,0.6160302999283449
OpenJPABugginess.arff,1,2,1,1,IBk,Smote,None,12.0,0.0,1003.0,8.0,1.0,0.6,0.8,0.7462797619047616
OpenJPABugginess.arff,1,2,1,1,NaiveBayes,None,BestFirst,8.0,37.0,966.0,12.0,0.17777777777777778,0.4,0.8801096709870389,0.2251796893113847
OpenJPABugginess.arff,1,2,1,1,RandomForest,None,BestFirst,12.0,0.0,1003.0,8.0,1.0,0.6,0.963110667996012,0.7462797619047616
OpenJPABugginess.arff,1,2,1,1,IBk,None,BestFirst,12.0,0.0,1003.0,8.0,1.0,0.6,0.8001994017946161,0.7462797619047616
OpenJPABugginess.arff,1,2,1,1,NaiveBayes,UnderSampling,BestFirst,15.0,170.0,833.0,5.0,0.08108108108108109,0.75,0.8467846460618146,0.11511751476657699
OpenJPABugginess.arff,1,2,1,1,RandomForest,UnderSampling,BestFirst,18.0,217.0,786.0,2.0,0.07659574468085106,0.9,0.9206879361914257,0.10907283319746258
OpenJPABugginess.arff,1,2,1,1,IBk,UnderSampling,BestFirst,18.0,246.0,757.0,2.0,0.06818181818181818,0.9,0.8273678963110668,0.09382366808109371
OpenJPABugginess.arff,1,2,1,1,NaiveBayes,OverSampling,BestFirst,16.0,98.0,905.0,4.0,0.14035087719298245,0.8,0.9298853439680957,0.2126137546973333
OpenJPABugginess.arff,1,2,1,1,RandomForest,OverSampling,BestFirst,14.0,43.0,960.0,6.0,0.24561403508771928,0.7,0.8150049850448654,0.34466800015688137
OpenJPABugginess.arff,1,2,1,1,IBk,OverSampling,BestFirst,12.0,14.0,989.0,8.0,0.46153846153846156,0.6,0.7757976071784646,0.5109305054543882
OpenJPABugginess.arff,1,2,1,1,NaiveBayes,Smote,BestFirst,9.0,46.0,957.0,11.0,0.16363636363636364,0.45,0.8728813559322034,0.2175645756457577
OpenJPABugginess.arff,1,2,1,1,RandomForest,Smote,BestFirst,11.0,0.0,1003.0,9.0,1.0,0.55,0.9577268195413758,0.7055926837847346
OpenJPABugginess.arff,1,2,1,1,IBk,Smote,BestFirst,12.0,0.0,1003.0,8.0,1.0,0.6,0.8001994017946161,0.7462797619047616
OpenJPABugginess.arff,2,5,1,2,NaiveBayes,None,None,5.0,1.0,1098.0,26.0,0.8333333333333334,0.16129032258064516,0.8434647333352902,0.2637192914715952
OpenJPABugginess.arff,2,5,1,2,RandomForest,None,None,10.0,8.0,1091.0,21.0,0.5555555555555556,0.3225806451612903,0.8372714197657695,0.3959892358167156
OpenJPABugginess.arff,2,5,1,2,IBk,None,None,11.0,7.0,1092.0,20.0,0.6111111111111112,0.3548387096774194,0.6742346414629135,0.43764515058797565
OpenJPABugginess.arff,2,5,1,2,NaiveBayes,UnderSampling,None,16.0,63.0,1036.0,15.0,0.20253164556962025,0.5161290322580645,0.8483225219407673,0.26182141002663195
OpenJPABugginess.arff,2,5,1,2,RandomForest,UnderSampling,None,19.0,150.0,949.0,12.0,0.11242603550295859,0.6129032258064516,0.8474126038333969,0.15062035430257728
OpenJPABugginess.arff,2,5,1,2,IBk,UnderSampling,None,25.0,310.0,789.0,6.0,0.07462686567164178,0.8064516129032258,0.7621884998092108,0.09096000610982412
OpenJPABugginess.arff,2,5,1,2,NaiveBayes,OverSampling,None,6.0,3.0,1096.0,25.0,0.6666666666666666,0.1935483870967742,0.8602101617306055,0.2912503920075267
OpenJPABugginess.arff,2,5,1,2,RandomForest,OverSampling,None,12.0,27.0,1072.0,19.0,0.3076923076923077,0.3870967741935484,0.8055710469928674,0.32213557288542166
OpenJPABugginess.arff,2,5,1,2,IBk,OverSampling,None,14.0,49.0,1050.0,17.0,0.2222222222222222,0.45161290322580644,0.73744459772814,0.27106749809410297
OpenJPABugginess.arff,2,5,1,2,NaiveBayes,Smote,None,7.0,4.0,1095.0,24.0,0.6363636363636364,0.22580645161290322,0.8247086794446564,0.3236136645431625
OpenJPABugginess.arff,2,5,1,2,RandomForest,Smote,None,11.0,9.0,1090.0,20.0,0.55,0.3548387096774194,0.8351287093838974,0.4188685937222919
OpenJPABugginess.arff,2,5,1,2,IBk,Smote,None,11.0,8.0,1091.0,20.0,0.5789473684210527,0.3548387096774194,0.6737796824092284,0.42807562994830334
OpenJPABugginess.arff,2,5,1,2,NaiveBayes,None,BestFirst,16.0,82.0,1017.0,15.0,0.16326530612244897,0.5161290322580645,0.8024890663066131,0.21535642189356793
OpenJPABugginess.arff,2,5,1,2,RandomForest,None,BestFirst,8.0,3.0,1096.0,23.0,0.7272727272727273,0.25806451612903225,0.7885908010214565,0.3719269742186498
OpenJPABugginess.arff,2,5,1,2,IBk,None,BestFirst,5.0,20.0,1079.0,26.0,0.2,0.16129032258064516,0.5990783410138248,0.1579458934067713
OpenJPABugginess.arff,2,5,1,2,NaiveBayes,UnderSampling,BestFirst,21.0,194.0,905.0,10.0,0.09767441860465116,0.6774193548387096,0.7991429158472512,0.128962781031551
OpenJPABugginess.arff,2,5,1,2,RandomForest,UnderSampling,BestFirst,19.0,173.0,926.0,12.0,0.09895833333333333,0.6129032258064516,0.8406909507176612,0.12927034479311553
OpenJPABugginess.arff,2,5,1,2,IBk,UnderSampling,BestFirst,24.0,539.0,560.0,7.0,0.04262877442273535,0.7741935483870968,0.6256714315066483,0.030384369980858507
OpenJPABugginess.arff,2,5,1,2,NaiveBayes,OverSampling,BestFirst,20.0,177.0,922.0,11.0,0.10152284263959391,0.6451612903225806,0.8037071824826089,0.13440303798293615
OpenJPABugginess.arff,2,5,1,2,RandomForest,OverSampling,BestFirst,7.0,9.0,1090.0,24.0,0.4375,0.22580645161290322,0.7835862514309196,0.28450823132123276
OpenJPABugginess.arff,2,5,1,2,IBk,OverSampling,BestFirst,7.0,70.0,1029.0,24.0,0.09090909090909091,0.22580645161290322,0.6101734714843406,0.09419610117169487
OpenJPABugginess.arff,2,5,1,2,NaiveBayes,Smote,BestFirst,17.0,133.0,966.0,14.0,0.11333333333333333,0.5483870967741935,0.7732689541812204,0.1491574040874864
OpenJPABugginess.arff,2,5,1,2,RandomForest,Smote,BestFirst,7.0,4.0,1095.0,24.0,0.6363636363636364,0.22580645161290322,0.7956206522058176,0.3236136645431625
OpenJPABugginess.arff,2,5,1,2,IBk,Smote,BestFirst,6.0,22.0,1077.0,25.0,0.21428571428571427,0.1935483870967742,0.611553024743902,0.1820925863184144
OpenJPABugginess.arff,3,8,2,4,NaiveBayes,None,None,21.0,60.0,1148.0,34.0,0.25925925925925924,0.38181818181818183,0.7735099337748345,0.27100909995210587
